시도,시군구,읍면,동리,단지코드,단지명,단지분류,법정동주소,우편번호,도로명주소,분양형태,사용승인일,가입일,동수,세대수,분양세대수,임대세대수,임대세대수(공공),임대세대수(민간),관리방식,난방방식,복도유형,시공사,시행사,주택관리업자,주택관리업자 사업자등록번호,일반관리-관리방식,일반관리-인원,경비관리-관리방식,경비관리-인원,경비관리-계약업체,청소관리-관리방식,청소관리-인원,청소관리-계약업체,음식물 처리방법,소독관리-관리방식,소독관리-계약업체,연간소독횟수,소독방법,건물구조,전기-수전용량,전기-세대전기계약방식,전기안전관리자선임여부,화재수신반방식,급수방식,승강기관리-관리방식,승강기(승객용),승강기(화물용),승강기(승객+화물),승강기(장애인),승강기(비상용),승강기(기타),총주차대수,지상주차대수,지하주차대수,CCTV대수,홈네트워크,긴급자동차 출입가능한 출입문,선택한출입문의 주차관제시스템,긴급전용번호판자동인식여부,긴급자동차 출입방법,긴급자동차 즉시통과,관리사무소 주소,관리사무소 연락처,관리사무소 팩스,부대복리시설,최고층수,최고층수(건축물대장상),지하층수,차량보유대수(전체),차량보유대수(전기차),전기충전기설치여부(지상),전기충전기설치여부(지하),전기차전용주차면수(지상),전기차전용주차면수(지하),외부인개방여부(지상),외부인개방여부(지하),이용가능시작시간(지상),이용가능시작시간(지하),이용종료시작시간(지상),이용종료시작시간(지하),전기차충전시설(상세),전기차 충전시설 설치대수(지상),전기차 충전시설 설치대수(지하),입주편의시설
부산광역시,사하구,,신평동,A60472602,한성임호아파트,아파트,부산광역시 사하구 신평동 100 한성임호아파트,49393,부산광역시 사하구 다대로 109,분양,19930618,20090511,2,217,217,0,0,0,위탁관리,개별난방,계단식,서호건설,임호주택,(주)주우관리,6058113949,위탁관리,2,위탁관리,2,삼성보안공사,위탁관리,2,삼성보안공사,차량수거방식,자치관리,,4,분무식,철근콘크리트구조,134,단일계약,위탁선임,P형,부스타방식,위탁관리,8,0,0,0,0,0,160,160,0,36,무,정문,무,,,가능,부산사하구 다대로 109,512029571,512029570,"관리사무소, 노인정, 어린이놀이터",15,15,1,224,4,설치,미설치,4,0,입주민전용,,0시 0분,,23시 59분,,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|4|엘지유플러스|,4,0,없음
부산광역시,사하구,,신평동,A60483201,한솔베스파트아파트,주상복합,부산광역시 사하구 신평동 84-9 한솔베스파트아파트,49442,부산광역시 사하구 신산로 187,분양,20010327,20090511,1,176,176,0,0,0,위탁관리,개별난방,계단식,대한주택보증,장백건설,(주)에이비씨서비스,3728600893,위탁관리,1,위탁관리,2,(주)주우관리,위탁관리,2,,차량수거방식,관리방식미정,,,-,철근콘크리트구조,650,단일계약,위탁선임,P형,고가수조식,위탁관리,5,0,0,0,0,0,155,52,103,37,무,정문,무,,,가능,부산시 사하구 신산로187,512927556,519977556,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",25,25,2,165,1,미설치,설치,0,4,,입주민전용,시 분,0시 0분,시 분,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|4|GS커넥티드|,0,4,없음
부산광역시,사하구,,장림동,A10022280,두산위브더센트럴사하,아파트,부산광역시 사하구 장림동 1154- 두산위브더센트럴사하,,,분양,20240926,20241011,13,1643,1643,0,0,0,위탁관리,개별난방,계단식,두산건설(주),장림1구역주택재개발정비사업조합,(주)썬앤문,6028141335,위탁관리,12,위탁관리,,(주)썬앤문,위탁관리,16,(주)썬앤문,음식물쓰레기종량제,관리방식미정,,,-,철근콘크리트구조,6500,종합계약,상주선임,GR형,부스타방식,관리방식미정,34,0,0,0,0,0,2020,0,2020,497,유,정문,유,부,,가능,부산광역시 사하구 장림로 199,512635888,512636888,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",35,,2,1643,20,미설치,설치,0,12,,입주민전용,시 분,0시 0분,시 분,24시 0분,"◆1◆|지하|스탠드형충전기|직접입력|완속|10|코스텔(주)|,◆2◆|지하|스탠드형충전기|직접입력|급속|2|코스텔(주)|",0,12,없음
부산광역시,사하구,,장림동,A60404202,로얄베스토피아아파트,아파트,부산광역시 사하구 장림동 185-29 로얄베스토피아아파트,49458,부산광역시 사하구 다대로227번길 45,분양,19930728,20090511,2,187,187,0,0,0,위탁관리,개별난방,계단식,로얄건설,로얄건설,삼성티엠에스,6078138188,위탁관리,2,위탁관리,2,삼성티엠에스,위탁관리,2,삼성티엠에스,차량수거방식,자치관리,,1,분무식,철근콘크리트구조,200,단일계약,위탁선임,P형,고가수조식,위탁관리,6,0,0,0,0,0,140,114,26,24,무,정문,무,,,가능,부산시 사하구 장림2동 185-29,512639146,512639146,"관리사무소, 노인정, 어린이놀이터",15,15,2,186,7,미설치,설치,0,3,,입주민전용,,0시 0분,,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|3|이지차지|,0,3,없음
부산광역시,사하구,,장림동,A60484612,벽산아파트,아파트,부산광역시 사하구 장림동 532 벽산아파트,49491,부산광역시 사하구 장평로41번길 19,분양,19920909,20090511,3,450,450,0,0,0,자치관리,개별난방,계단식,벽산건설,마마주택, ,,자치관리,3,자치관리,4,,자치관리,3,,음식물쓰레기종량제,위탁관리,부일환경,6,분무식,철근콘크리트구조,1110,단일계약,위탁선임,R형,고가수조식,위탁관리,12,0,0,0,0,0,234,234,0,46,무,정문,무,,,가능,부산사하구장평로41번길19,512646629,512646627,"관리사무소, 노인정, 어린이놀이터",15,15,1,234,5,설치,미설치,5,0,입주민전용,,0시 59분,,0시 59분,,◆1◆|지상|벽부형충전기|AC단상 5핀|완속|5|홈앤서비스|,5,0,없음
부산광역시,사하구,,장림동,A10025499,사하 리버팰리스 주상복합,주상복합,부산광역시 사하구 장림동 435 사하 리버팰리스 주상복합,49469,부산광역시 사하구 다대로 328,분양,20190517,20190529,2,154,154,0,0,0,위탁관리,개별난방,계단식,동양종합건설(주),(주) 디앤와이,(주)하나티엠,6058124811,위탁관리,2,위탁관리(직영+위탁),2,,위탁관리,1,,음식물쓰레기종량제,,,,-,철근콘크리트구조,1395,종합계약,위탁선임,R형,부스타방식,위탁관리,4,0,0,0,0,0,172,0,172,44,무,주차장,유,여,,가능,부산시 사하구 다대로328 (장림동 435 번지),512657088,512637088,"관리사무소, 주민공동시설, 자전거보관소",28,28,4,172,1,미설치,설치,0,4,,,,0시 0분,,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|4|코스텔|,0,4,없음
부산광역시,사하구,,장림동,A10025997,사하 장림역스마트W아파트,아파트,부산광역시 사하구 장림동 1151 사하 장림역스마트W아파트,49465,부산광역시 사하구 장림번영로104번길 10,분양,20181011,20181023,3,494,494,0,0,0,위탁관리,개별난방,혼합식,경성리츠,(주)경성리츠,(주)재덕,3408100611,위탁관리,5,위탁관리,2,(주)재덕,위탁관리,4,(주)재덕,음식물쓰레기종량제,위탁관리,구구환경,5,분무식,철골철근콘크리트구조,2600,종합계약,상주선임,R형,부스타방식,위탁관리,5,0,0,0,0,0,449,15,434,91,유,지상주차장,유,여,,가능,부산시 사하구 장림번영로 104번길 10,517153060,517153070,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",20,20,4,608,10,미설치,설치,0,8,,,시 분,1시 1분,시 분,12시 59분,◆1◆|지하|벽부형충전기|직접입력|완속|8|모름|,0,8,없음
부산광역시,사하구,,장림동,A60477509,윌더하임아파트,아파트,부산광역시 사하구 장림동 599-27 윌더하임아파트,49483,부산광역시 사하구 장평로 119,분양,20051115,20090511,4,392,392,0,0,0,위탁관리,개별난방,계단식,0,0,(주)하나종합관리,6088146774,위탁관리,4,위탁관리,4,비앤에이서비스,위탁관리,3,비앤에이서비스,음식물쓰레기종량제,위탁관리,,4,"도포식,분무식",철근콘크리트구조,1185,단일계약,위탁선임,R형,부스타방식,위탁관리,9,0,0,0,0,0,398,126,272,45,무,정문,무,,,가능,부산 사하구 장평로 119  윌더하임아파트 관리사무소,512621917,512621918,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",28,28,0,445,10,미설치,설치,0,10,,,시 분,0시 0분,시 분,0시 0분,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|10|플러그링크|,10,0,없음
부산광역시,사하구,,장림동,A60476911,장림강남아파트,아파트,부산광역시 사하구 장림동 566-7 장림강남아파트,49483,부산광역시 사하구 장평로41번길 61,분양,19920630,20090511,5,447,447,0,0,0,자치관리,개별난방,계단식,강남건영,강남건영, ,,자치관리,3,자치관리,5,,자치관리,5,,음식물쓰레기종량제,위탁관리(직영+위탁),,4,분무식,철근콘크리트구조,225,단일계약,위탁선임,P형,부스타방식,위탁관리,15,0,0,0,0,0,294,267,27,61,무,정문,무,,,가능,부산광역시 사하구 장평로41번길 61,512629493,512662853,"관리사무소, 노인정, 어린이놀이터, 휴게시설",15,15,1,460,2,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
부산광역시,사하구,,장림동,A60470305,장림경동메르빌,아파트,부산광역시 사하구 장림동 2 장림경동메르빌,49511,부산광역시 사하구 다대로277번길 124,분양,20021122,20090511,1,261,261,0,0,0,위탁관리,개별난방,계단식,경동건설,경동건설,(주)하나종합관리,6088146774,위탁관리,2,위탁관리,2,주)하나종합관리,위탁관리,2,,음식물쓰레기종량제,위탁관리,,4,도포식,철근콘크리트구조,650,단일계약,위탁선임,GR형,부스타방식,위탁관리,7,0,0,0,0,0,193,78,115,42,무,정문,무,,,가능,부산광역시 사하구 다대로277번길 124,512661360,512661409,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",20,20,2,254,10,설치,미설치,6,3,입주민전용,입주민전용,0시 1분,시 분,23시 59분,시 분,◆1◆|지상|벽부형충전기|직접입력|완속|9|파워큐브코리아|,9,0,없음
부산광역시,사하구,,장림동,A60484607,장림국제마마아파트,아파트,부산광역시 사하구 장림동 566-12 장림국제마마아파트,49491,부산광역시 사하구 장평로41번길 51,분양,19930906,20090511,1,288,288,0,0,0,위탁관리,개별난방,혼합식,국제종합건설(주),(주)마마주택,주식회사 바른기업,1038801849,위탁관리,2,위탁관리,2,(주)바른기업,위탁관리,2,,음식물쓰레기종량제,자치관리,,4,"분무식,독이식",철근콘크리트구조,214,기타,위탁선임,P형,부스타방식,위탁관리,6,0,0,0,0,0,139,119,20,38,무,지상주차장,무,,,가능,부산 사하구 장평로41번길 51 (장림국제마마아파트),512631771,512631750,"관리사무소, 노인정, 어린이놀이터",15,15,0,250,3,설치,미설치,3,0,입주민전용,,0시 0분,,23시 59분,,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|3|GS차지비|,3,0,있음
부산광역시,사하구,,장림동,A60477013,장림극동정림아파트,아파트,부산광역시 사하구 장림동 426 장림극동정림아파트,49511,부산광역시 사하구 다대로 339,분양,19951220,20090511,1,472,472,0,0,0,자치관리,개별난방,혼합식,극동건설,정림주택, ,,자치관리,3,자치관리,6,,자치관리,3,,거점장비수거방식,위탁관리,,3,분무식,철근콘크리트구조,1400,단일계약,위탁선임,P형,부스타방식,위탁관리,8,0,0,0,0,0,355,77,278,54,무,정문,무,,,가능,부산시 사하구 다대로339 극동정림관리사무소,512631669,512659544,"관리사무소, 노인정, 어린이놀이터",25,25,0,440,3,설치,설치,1,6,입주민전용,입주민전용,23시 59분,23시 59분,23시 59분,23시 59분,"◆1◆|지상|벽부형충전기|직접입력|완속|1|파워큐브코리아|,◆2◆|지하|벽부형충전기|직접입력|완속|6|파워큐브코리아|",1,6,없음
부산광역시,사하구,,장림동,A10026102,장림나산리버빌아파트,아파트,부산광역시 사하구 장림동 321-28 장림나산리버빌아파트,49475,부산광역시 사하구 장림번영로 53,분양,20080310,20180828,1,128,128,0,0,0,위탁관리,개별난방,계단식,나산건설,나산건설,조은관리시스템 주식회사,8328701902,위탁관리,1,위탁관리,2,(주)조은관리시스템,위탁관리,1,,차량수거방식,위탁관리,,4,분무식,철근콘크리트구조,740,종합계약,상주선임,P형,부스타방식,위탁관리,4,0,0,0,0,0,153,23,130,32,무,지상주차장,무,,,가능,부산광역시 사하구 장림번영로53(장림동),512612075,512612075,관리사무소,18,18,3,153,0,미설치,설치,23,130,,입주민전용,,0시 0분,,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|3|GS차지비(주)|,0,3,없음
부산광역시,사하구,,장림동,A10021074,장림동 협진태양아파트,아파트,부산광역시 사하구 장림동 65- 장림동 협진태양아파트,,,분양,19890502,20241219,4,148,148,0,0,0,자치관리,개별난방,계단식,협진주택,협진주택, ,,자치관리,,,,,,,,,,,,-,,,,,,,,,,,,,,0,,,,,,,,,가능,부산사하구 장림2동 두송로32 협진태양아파트 관리실,512635005,512655955,,1,,1,,,,,,,,,,,,,,,,없음
부산광역시,사하구,,장림동,A60474410,장림동원3차아파트,아파트,부산광역시 사하구 장림동 185-1 장림동원3차아파트,49458,부산광역시 사하구 다대로227번길 37,분양,19991020,20090511,2,402,402,0,0,0,위탁관리,개별난방,혼합식,동원주택(주),(주)세진종합건설,(주)에이치엠 우성,6058147662,위탁관리,4,위탁관리,4,(주)디이씨오,위탁관리,2,(주)디이씨오,음식물쓰레기종량제,위탁관리,(주)푸른환경시스템,5,분무식,철근콘크리트구조,1040,단일계약,위탁선임,R형,고가수조식,위탁관리,0,0,0,0,8,0,325,116,209,57,무,정문,무,,,가능,부산시 사하구 다대로 227번길 37,512667939,512627939,"관리사무소, 노인정, 주민공동시설, 어린이놀이터",24,24,0,0,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
부산광역시,사하구,,장림동,A60474002,장림동원로얄듀크,아파트,부산광역시 사하구 장림동 875 장림동원로얄듀크,49481,부산광역시 사하구 하신중앙로 2,분양,20050104,20090511,18,1973,1973,0,0,0,위탁관리,개별난방,계단식,(주)동원개발,(주)동원개발,(주)HM우성,6058147662,위탁관리,14,위탁관리,17,조은관리시스템(주),위탁관리,14,조은관리시스템(주),음식물쓰레기종량제,위탁관리,고려그린산업,3,분무식,철근콘크리트구조,5800,단일계약,상주선임,R형,부스타방식,위탁관리,41,0,0,0,0,0,1989,446,1543,359,무,정문,무,,,가능,부산광역시 사하구 하신중앙로2,512649720,519619724,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",25,25,3,2400,3,미설치,설치,0,40,,입주민전용,시 분,0시 0분,시 분,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|40|(주)파워큐브코리아|,0,40,없음
부산광역시,사하구,,장림동,A60484003,장림동원타워아파트,아파트,부산광역시 사하구 장림동 25 장림동원타워아파트,49511,부산광역시 사하구 다대로277번길 56,분양,19931118,20090511,2,216,216,0,0,0,위탁관리,개별난방,계단식,(주)동원개발,(주)동원개발,(주)로이안H&F,1078551976,위탁관리,2,위탁관리,2,(주)삼성보안공사,위탁관리,2,(주)삼성보안공사,음식물쓰레기종량제,위탁관리,킴스ENC,3,분무식,철근콘크리트구조,384,기타,위탁선임,기타,고가수조식,위탁관리,8,0,0,0,0,0,147,74,73,42,무,정문,무,,,가능,부산 사하구 다대로 277번길56,512641606,512642882,"관리사무소, 노인정, 어린이놀이터",21,21,0,200,1,미설치,미설치,,0,,,시 분,시 분,시 분,시 분,,,,없음
부산광역시,사하구,,장림동,A60477608,장림삼경,아파트,부산광역시 사하구 장림동 60-20 장림삼경,49510,부산광역시 사하구 다대로277번길 141,분양,19930403,20090511,3,298,298,0,0,0,자치관리,개별난방,계단식,삼경건설,삼경건설, ,,자치관리,2,자치관리,4,자치관리,자치관리,2,,음식물쓰레기종량제,위탁관리,,1,분무식,철근콘크리트구조,203,기타,위탁선임,P형,고가수조식,위탁관리,12,0,0,0,0,0,143,83,60,24,무,지상주차장,무,,,가능,부산시 사하구 다대로 277번길 141,512649872,519939872,"관리사무소, 노인정, 어린이놀이터",15,15,1,238,1,미설치,미설치,0,0,,,,,,,,,,없음
부산광역시,사하구,,장림동,A60474516,장림신세대지큐빌아파트,아파트,부산광역시 사하구 장림동 16 장림신세대지큐빌아파트,49510,부산광역시 사하구 다대로277번길 85,분양,20030424,20090511,7,990,990,0,0,0,위탁관리,개별난방,혼합식,신세대건설 주식회사,신세대건설 주식회사,(주)디이씨오,6048134470,위탁관리,7,위탁관리(직영+위탁),6,(주)삼성티엠에스,위탁관리(직영+위탁),8,,음식물쓰레기종량제,위탁관리,,4,분무식,철근콘크리트구조,2500,단일계약,상주선임,GR형,고가수조식,위탁관리,18,0,0,0,0,0,700,301,399,90,무,정문,무,,,가능,부산광역시 사하구 다대로 277번길 85번지,512655092,512655091,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 기타",25,25,0,915,8,미설치,설치,0,14,,,,0시 1분,,23시 59분,◆1◆|지하|벽부형충전기|직접입력|완속|14|(주)이지차저|,0,14,있음
부산광역시,사하구,,장림동,A60477206,장림신우림아파트,아파트,부산광역시 사하구 장림동 84-1 장림신우림아파트,49458,부산광역시 사하구 다대로227번길 15,분양,20011208,20090511,2,298,298,0,0,0,자치관리,개별난방,혼합식,우림건설,우림건설, ,,자치관리,3,자치관리,4,,자치관리,2,,음식물쓰레기종량제,위탁관리,,4,분무식,철근콘크리트구조,507,기타,위탁선임,P형,고가수조식,위탁관리,10,0,0,0,0,0,257,205,52,16,무,정문,무,,,가능,부산시 사하구 다대로 227번길 15,512652890,512642890,"관리사무소, 노인정, 어린이놀이터",15,15,1,320,0,미설치,설치,0,3,,입주민전용,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|스탠드형충전기|직접입력|완속|3|파워큐브코리아|,0,3,없음
부산광역시,사하구,,장림동,A10024859,장림역 베스티움2차,주상복합,부산광역시 사하구 장림동 1153 장림역 베스티움2차,49465,부산광역시 사하구 장림번영로 76,분양,20200604,20200617,3,221,221,0,0,0,위탁관리,개별난방,계단식,(주)동부토건,(주)피에이에스브로,(주)에이치엠 우성,6058147662,위탁관리,4,위탁관리,2,(주)에이치엠 우성,위탁관리,3,(주)에이치엠 우성,음식물쓰레기종량제,위탁관리,우주종합환경,5,-,철근콘크리트구조,2150,단일계약,상주선임,R형,부스타방식,위탁관리,8,0,0,0,0,0,229,76,153,80,유,정문,유,부,긴급자동차 운전자에게 출입가능한 카드(RFID) 또는 리모컨을 사전에 지급하는 경우,가능,부산광역시 사하구 장림번영로 76,512668061,512668063,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",29,29,2,344,2,미설치,설치,0,7,,입주민전용,,0시 0분,,0시 0분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|4|(주)이지차저|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|3|(주)에버온인프라|",0,7,없음
부산광역시,사하구,,장림동,A10026478,장림역사하베스티움아파트,아파트,부산광역시 사하구 장림동 340-8 장림역사하베스티움아파트,49465,부산광역시 사하구 장림번영로 96,분양,20171215,20180222,3,202,202,0,0,0,위탁관리,개별난방,혼합식,동부토건,동성이앤씨,남부건업(주),6098114386,위탁관리,3,위탁관리,2,(주)남부건업,위탁관리,2,(주)남부건업,거점장비수거방식,관리방식미정,,,-,철근콘크리트구조,1200,종합계약,상주선임,R형,부스타방식,위탁관리,5,0,0,0,0,0,209,24,185,88,유,정문,유,부,긴급자동차가 출입가능하도록 사전에 차량번호를 출입가능차량명부에 등록하는 경우,가능,부산광역시 사하구 장림번영로96,512620573,512620574,"관리사무소, 주민공동시설, 어린이놀이터, 자전거보관소",22,22,2,214,3,미설치,설치,0,5,,,,1시 1분,,24시 59분,"◆1◆|지하|벽부형충전기|직접입력|완속|3|휴맥스이브이|,◆2◆|지하|벽부형충전기|직접입력|완속|2|차지비|",0,5,없음
부산광역시,사하구,,장림동,A60484004,장림우림그린아파트,아파트,부산광역시 사하구 장림동 244-6 장림우림그린아파트,49458,부산광역시 사하구 두송로 25,분양,19920128,20090511,1,255,255,0,0,0,자치관리,개별난방,혼합식,우림건설,우림건설, ,,자치관리,2,자치관리,2,,자치관리,2,,거점장비수거방식,자치관리(직영),,2,분무식,철근콘크리트구조,345,단일계약,위탁선임,P형,고가수조식,위탁관리,6,0,0,0,0,0,166,132,34,36,무,정문,무,,,가능,부산광역시 사하구 두송로 25,512646349,512646349,"관리사무소, 노인정, 어린이놀이터",15,15,0,0,3,설치,미설치,0,0,입주민전용,,5시 30분,,10시 30분,,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|3|대영채비|,3,0,있음
부산광역시,사하구,,장림동,A10026369,장림지원시티파크,주상복합,부산광역시 사하구 장림동 333-2 장림지원시티파크,49482,부산광역시 사하구 장림번영로 50,분양,20150629,20180411,1,284,284,0,0,0,위탁관리,개별난방,복도식,서울조경건설,(주)지원홀딩스,주식회사 태원서비스,1118801442,위탁관리,3,위탁관리,2,(주)재덕,위탁관리,2,(주)재덕,차량수거방식,관리방식미정,,,-,철근콘크리트구조,1500,단일계약,상주선임,R형,부스타방식,위탁관리,3,0,0,0,0,0,248,0,248,30,무,정문,유,여,,가능,부산시 사하구 장림번영로 50,512658300,512629982,관리사무소,15,15,3,277,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
부산광역시,사하구,,장림동,A60484001,장림현대그린아파트,아파트,부산광역시 사하구 장림동 60-42 장림현대그린아파트,49458,부산광역시 사하구 두송로 47,분양,19950715,20090511,1,152,152,0,0,0,자치관리,개별난방,혼합식,현대산업개발주식회사,현대산업개발주식회사, ,,자치관리,2,자치관리(직영),2,,자치관리(직영),1,,차량수거방식,위탁관리,,2,분무식,철근콘크리트구조,507,단일계약,위탁선임,P형,고가수조식,위탁관리,3,0,0,0,0,0,110,22,88,27,무,정문,무,,,가능,부산광역시 사하구 두송로 47,512614470,512614470,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",19,19,0,133,0,미설치,미설치,0,0,,,,,,,,,,없음
부산광역시,사하구,,장림동,A60477315,장림현대아파트,아파트,부산광역시 사하구 장림동 372-4 장림현대아파트,49511,부산광역시 사하구 다대로 301,분양,19891020,20090511,12,828,828,0,0,0,위탁관리,개별난방,계단식,현대건설,현대건설,(주)삼성T.M.S,6078138188,위탁관리,4,위탁관리,6,(주)목평인력개발,위탁관리,4,(주)목평,음식물쓰레기종량제,위탁관리,녹색환경,4,분무식,철근콘크리트구조,118,기타,위탁선임,P형,고가수조식,,0,0,0,0,0,0,618,618,0,36,무,정문,무,,,가능,부산시 사하구 다대로 301,512618350,512618351,"관리사무소, 노인정, 어린이놀이터, 유치원",6,6,0,600,6,설치,미설치,12,0,입주민전용,,24시 0분,시 분,24시 0분,시 분,◆1◆|지상|벽부형충전기|AC단상 5핀|완속|12|LGU+볼트업|,12,0,없음
부산광역시,사하구,,장림동,A10025062,장림현대타워아파트,아파트,부산광역시 사하구 장림동 506-5 장림현대타워아파트,49511,부산광역시 사하구 다대로 365,분양,19930331,20200206,3,118,118,0,0,0,자치관리,개별난방,계단식,고려산업개발,유진산업개발, ,,자치관리,1,자치관리,2,,자치관리,1,,차량수거방식,자치관리,,1,"도포식,분무식",철골콘크리트구조,825,단일계약,위탁선임,P형,압력탱크식,위탁관리,3,0,0,0,0,0,52,24,28,16,,,,,,가능,부산광역시 사하구 다대로365,512627879,512627876,"관리사무소, 노인정",21,21,2,,,,,,,,,,,,,,,,없음
부산광역시,사하구,,장림동,A60484514,장림협성르네상스타운,아파트,부산광역시 사하구 장림동 585-1 장림협성르네상스타운,49483,부산광역시 사하구 장평로 87,분양,20070511,20090511,6,650,650,0,0,0,위탁관리,개별난방,계단식,(주)협성종합건업,협성르네상스(주),(주)명건,6078135065,위탁관리,5,위탁관리,10,(주)명건,위탁관리,6,,음식물쓰레기종량제,위탁관리,(주)푸른환경시스템,4,분무식,철근콘크리트구조,2550,단일계약,상주선임,R형,부스타방식,위탁관리,19,0,0,0,0,0,726,186,540,85,무,정문,무,,,가능,부산시 사하구 장림2동 585-1,512630496,519006158,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",25,25,0,726,12,미설치,설치,0,15,,입주민전용,,0시 0분,,0시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|15|파워큐브코라아|,0,15,없음
부산광역시,사하구,,다대동,A60475309,3지구도개공아파트,아파트,"부산광역시 사하구 다대동 113-8,부산광역시 사하구 다대동 113-13 3지구도개공아파트",49490,부산광역시 사하구 다대로 430,임대,19891122,20090511,5,750,0,750,750,0,자치관리(직영),중앙난방,복도식,국제종합토건,부산도시공사, ,,자치관리(직영),7,위탁관리,5,(주)에스코아,위탁관리,5,(주)에스코아,음식물쓰레기종량제,위탁관리,,9,"도포식,분무식",철근콘크리트구조,950,단일계약,위탁선임,R형,부스타방식,위탁관리,5,0,0,0,0,0,131,131,0,26,무,정문,무,,,가능,부산시 사하구 다대로 440번길,512643282,512643345,"관리사무소, 자전거보관소",15,15,1,0,1,설치,미설치,3,0,외부인허용,,1시 0분,,1시 0분,,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|3|GS커넥트|,3,0,없음
부산광역시,사하구,,다대동,A60482712,5지구몰운대영구임대아파트,아파트,부산광역시 사하구 다대동 1548-11 5지구몰운대영구임대아파트,49504,부산광역시 사하구 다대낙조2길 13,임대,19961024,20090511,12,2107,0,2107,2107,0,자치관리,중앙난방,복도식,삼익건설,부산도시공사, ,,자치관리,15,위탁관리,20,(주)혜강종합관리,위탁관리,12,(주)혜강종합관리,음식물쓰레기종량제,위탁관리,엔가드부산극동산업,9,"도포식,분무식",철근콘크리트구조,3800,단일계약,상주선임,R형,고가수조식,위탁관리,28,0,0,0,0,0,560,560,0,134,무,정문,무,,,가능,부산광역시 사하구 다대낙조2길 50(다대동),512648910,512640800,"관리사무소, 노인정, 주민공동시설, 어린이놀이터",22,22,0,0,0,미설치,미설치,0,0,외부인허용,외부인허용,시 분,시 분,시 분,시 분,,,,없음
부산광역시,사하구,,다대동,A60475408,국제그린아파트,아파트,부산광역시 사하구 다대동 94-2 국제그린아파트,49513,부산광역시 사하구 다대로381번길 75,분양,19950501,20090511,7,996,996,0,0,0,위탁관리,개별난방,복도식,한국주택공사,한국주택공사,(주)삼성T.M.S,6078138188,위탁관리,6,위탁관리,8,삼성티엠에스,위탁관리,7,,음식물쓰레기종량제,위탁관리,,3,분무식,철근콘크리트구조,2800,단일계약,상주선임,P형,부스타방식,위탁관리,14,0,0,0,0,0,539,499,40,59,무,정문,무,,,가능,부산시 사하구 다대로 381번길 75,512644351,512644634,"관리사무소, 노인정, 어린이놀이터",25,25,1,625,7,설치,설치,10,2,입주민전용,입주민전용,0시 0분,0시 0분,24시 0분,24시 0분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|2|(주)파워코리아|,◆2◆|지상|스탠드형충전기|AC단상 5핀|완속|10|(주)이노스|",10,2,없음
부산광역시,사하구,,다대동,A10021124,다대남도빌라,연립주택,부산광역시 사하구 다대동 959- 다대남도빌라,,,분양,19901011,20241211,5,132,132,0,0,0,자치관리,개별난방,계단식,롤라요,몰라요, ,,자치관리,,,,,,,,,,,,-,,,,,,,,,,,,,,0,,,,,,,,,가능,부산시 사하구 윤공단로25,512637210,,,3,,0,,,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
